starttime,tilt1,tilt2,compass,accelerometer
2020-01-15 01:28:38.200000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.300000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.400000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.500000,-4.563,-2.0,334.75,0.98
2020-01-15 01:28:38.600000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.700000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.800000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:38.900000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.100000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.200000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.300000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.400000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.500000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.600000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.700000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.800000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:39.900000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.100000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.200000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.300000,-4.563,-2.0,334.75,0.98
2020-01-15 01:28:40.400000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.500000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.600000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.700000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.800000,-4.563,-2.0,334.75,0.979
2020-01-15 01:28:40.900000,-4.438,-1.875,334.75,0.959
2020-01-15 01:28:41,-4.875,-2.188,335.25,0.971
2020-01-15 01:28:41.100000,-4.875,-2.188,335.25,0.971
2020-01-15 01:28:41.200000,-2.375,-0.938,334.687,0.979
2020-01-15 01:28:41.300000,-4.938,-2.438,331.0,0.942
2020-01-15 01:28:41.400000,-4.938,-2.438,331.0,0.942
2020-01-15 01:28:41.500000,-5.625,-2.625,334.125,1.057
2020-01-15 01:28:41.600000,-5.438,-4.438,335.187,1.025
2020-01-15 01:28:41.700000,-5.438,-4.438,335.187,1.025
2020-01-15 01:28:41.800000,-6.625,-5.063,339.937,0.982
2020-01-15 01:28:41.900000,-28.438,-15.813,344.687,1.109
2020-01-15 01:28:42,-28.438,-15.813,344.687,1.109
2020-01-15 01:28:42.100000,-45.875,-25.125,333.062,1.027
2020-01-15 01:28:42.200000,-43.188,-23.938,325.812,0.996
2020-01-15 01:28:42.300000,-43.188,-23.938,325.812,0.996
2020-01-15 01:28:42.400000,-1.813,-2.5,321.75,0.87
2020-01-15 01:28:42.500000,-4.0,-2.938,324.0,0.986
2020-01-15 01:28:42.600000,-4.0,-2.938,324.0,0.986
2020-01-15 01:28:42.700000,-4.375,-3.0,323.75,0.979
2020-01-15 01:28:42.800000,-4.5,-2.625,323.312,0.979
2020-01-15 01:28:42.900000,-4.5,-2.625,323.312,0.979
2020-01-15 01:28:43,-4.563,-2.375,323.25,0.978
2020-01-15 01:28:43.100000,-4.625,-2.188,323.125,0.979
2020-01-15 01:28:43.200000,-4.625,-2.188,323.125,0.979
2020-01-15 01:28:43.300000,-4.688,-2.0,323.062,0.979
2020-01-15 01:28:43.400000,-4.875,-1.875,323.0,0.979
2020-01-15 01:28:43.500000,-4.875,-1.875,323.0,0.979
2020-01-15 01:28:43.600000,-4.75,-1.75,322.812,0.979
