starttime,tilt1,tilt2,compass,accelerometer,ax,ay,az
2020-01-19 11:37:57.100000,-25.313,-13.438,194.437,1.027,-253.0,-413.0,911.0
2020-01-19 11:37:57.200000,-25.313,-13.438,194.437,1.034,-265.0,-412.0,902.0
2020-01-19 11:37:57.300000,-25.313,-14.188,194.375,1.027,-270.0,-412.0,902.0
2020-01-19 11:37:57.400000,-25.063,-14.875,194.687,1.027,-270.0,-422.0,896.0
2020-01-19 11:37:57.500000,-25.125,-14.875,194.687,1.022,-254.0,-426.0,892.0
2020-01-19 11:37:57.600000,-25.125,-14.563,195.062,1.017,-243.0,-426.0,892.0
2020-01-19 11:37:57.700000,-25.688,-13.938,195.437,1.017,-243.0,-436.0,883.0
2020-01-19 11:37:57.800000,-26.313,-13.938,195.437,1.011,-230.0,-451.0,888.0
2020-01-19 11:37:57.900000,-26.313,-13.375,195.937,1.021,-229.0,-451.0,888.0
2020-01-19 11:37:58,-26.938,-13.125,196.25,1.021,-229.0,-456.0,879.0
2020-01-19 11:37:58.100000,-27.688,-13.125,196.25,1.016,-231.0,-460.0,877.0
2020-01-19 11:37:58.200000,-27.688,-13.125,196.187,1.017,-235.0,-460.0,877.0
2020-01-19 11:37:58.300000,-27.875,-12.875,195.812,1.017,-235.0,-458.0,889.0
2020-01-19 11:37:58.400000,-27.875,-12.875,195.812,1.026,-232.0,-455.0,877.0
2020-01-19 11:37:58.500000,-27.875,-12.813,196.0,1.013,-228.0,-455.0,877.0
2020-01-19 11:37:58.600000,-28.0,-13.0,196.25,1.013,-228.0,-462.0,891.0
2020-01-19 11:37:58.700000,-27.813,-13.0,196.25,1.03,-234.0,-460.0,876.0
2020-01-19 11:37:58.800000,-27.813,-12.875,196.375,1.016,-231.0,-460.0,876.0
2020-01-19 11:37:58.900000,-28.0,-13.063,196.875,1.016,-231.0,-463.0,877.0
2020-01-19 11:37:59,-28.125,-13.063,196.875,1.018,-232.0,-459.0,875.0
2020-01-19 11:37:59.100000,-28.125,-13.125,197.062,1.015,-235.0,-459.0,875.0
2020-01-19 11:37:59.200000,-28.125,-13.063,197.375,1.015,-235.0,-424.0,861.0
2020-01-19 11:37:59.300000,-28.375,-13.063,197.375,0.986,-227.0,-416.0,829.0
2020-01-19 11:37:59.400000,-28.375,-13.438,197.875,0.96,-251.0,-416.0,829.0
2020-01-19 11:37:59.500000,-28.313,-15.0,197.187,0.96,-251.0,-435.0,822.0
2020-01-19 11:37:59.600000,-28.063,-15.0,197.187,1.0,-369.0,-441.0,440.0
2020-01-19 11:37:59.700000,-28.063,-19.25,195.25,0.781,-472.0,-441.0,440.0
2020-01-19 11:37:59.800000,-27.063,-26.0,192.687,0.781,-472.0,-771.0,465.0
2020-01-19 11:37:59.900000,-27.938,-26.0,192.687,1.319,-965.0,-504.0,176.0
2020-01-19 11:38:00,-27.938,-40.063,197.687,1.044,-898.0,-504.0,176.0
2020-01-19 11:38:00.100000,-45.5,-59.938,210.562,1.044,-898.0,-428.0,172.0
2020-01-19 11:38:00.200000,-75.875,-59.938,210.562,1.122,-1023.0,-237.0,103.0
2020-01-19 11:38:00.300000,-75.875,-71.625,213.125,0.979,-945.0,-237.0,103.0
2020-01-19 11:38:00.400000,-91.0,-79.25,215.812,0.979,-945.0,-127.0,42.0
2020-01-19 11:38:00.500000,-91.375,-79.25,215.812,1.007,-999.0,-102.0,-6.0
2020-01-19 11:38:00.600000,-91.375,-83.688,257.437,1.175,-1171.0,-102.0,-6.0
2020-01-19 11:38:00.700000,-174.938,-79.063,310.375,1.175,-1171.0,-49.0,-438.0
2020-01-19 11:38:00.800000,-171.938,-79.063,310.375,1.034,-936.0,-82.0,-515.0
2020-01-19 11:38:00.900000,-171.938,-70.438,324.062,1.036,-896.0,-82.0,-515.0
2020-01-19 11:38:01,-175.438,-66.5,330.562,1.036,-896.0,-184.0,-389.0
2020-01-19 11:38:01.100000,178.312,-66.5,330.562,0.922,-816.0,-274.0,-179.0
2020-01-19 11:38:01.200000,178.312,-67.75,326.25,0.844,-778.0,-274.0,-179.0
2020-01-19 11:38:01.300000,-177.5,-67.125,324.187,0.844,-778.0,-75.0,-79.0
2020-01-19 11:38:01.400000,-171.0,-67.125,324.187,1.084,-1079.0,14.0,-281.0
2020-01-19 11:38:01.500000,-171.0,-68.75,325.812,1.191,-1158.0,14.0,-281.0
2020-01-19 11:38:01.600000,-166.0,-78.625,322.937,1.191,-1158.0,-265.0,-168.0
2020-01-19 11:38:01.700000,-169.063,-78.625,322.937,1.066,-1019.0,-85.0,211.0
2020-01-19 11:38:01.800000,-169.063,-80.688,304.437,0.643,-602.0,-85.0,211.0
2020-01-19 11:38:01.900000,-163.5,-77.375,299.375,0.643,-602.0,-151.0,-360.0
2020-01-19 11:38:02,-158.0,-77.375,299.375,1.304,-1245.0,-289.0,-220.0
2020-01-19 11:38:02.100000,-158.0,-77.813,261.937,1.265,-1212.0,-289.0,-220.0
2020-01-19 11:38:02.200000,-132.563,-76.813,260.062,1.265,-1212.0,-293.0,110.0
2020-01-19 11:38:02.300000,-126.875,-76.813,260.062,0.819,-757.0,-282.0,252.0
2020-01-19 11:38:02.400000,-126.875,-76.0,259.5,0.949,-871.0,-282.0,252.0
2020-01-19 11:38:02.500000,-130.688,-75.813,227.437,0.949,-871.0,-280.0,154.0
2020-01-19 11:38:02.600000,-101.5,-75.813,227.437,1.214,-1172.0,-249.0,499.0
2020-01-19 11:38:02.700000,-101.5,-68.0,181.875,1.069,-913.0,-249.0,499.0
2020-01-19 11:38:02.800000,-67.125,-68.625,163.125,1.069,-913.0,-281.0,357.0
2020-01-19 11:38:02.900000,-53.75,-68.625,163.125,0.812,-674.0,-370.0,378.0
2020-01-19 11:38:03,-53.75,-66.688,141.937,1.011,-862.0,-370.0,378.0
