starttime,value
"((('2020-01-14 23:11:26.300000', -72.188), -16.438), 346.5)",1.449
"((('2020-01-14 23:11:26.350000', -84.188), -15.625), 359.25)",1.25
"((('2020-01-14 23:11:26.400000', -84.188), -15.625), 359.25)",1.25
"((('2020-01-14 23:11:26.450000', -84.188), -15.625), 359.25)",1.25
"((('2020-01-14 23:11:26.500000', -87.5), -13.188), 17.875)",1.692
"((('2020-01-14 23:11:26.550000', -87.5), -13.188), 17.875)",1.692
"((('2020-01-14 23:11:26.600000', -74.375), -15.875), 350.375)",1.692
"((('2020-01-14 23:11:26.650000', -74.375), -15.875), 350.375)",1.579
"((('2020-01-14 23:11:26.700000', -74.375), -15.875), 350.375)",1.579
"((('2020-01-14 23:11:26.750000', -84.625), -16.25), 5.375)",1.579
"((('2020-01-14 23:11:26.800000', -84.625), -16.25), 5.375)",1.321
"((('2020-01-14 23:11:26.850000', -84.625), -16.25), 5.375)",1.321
"((('2020-01-14 23:11:26.900000', -90.625), -13.938), 26.812)",1.321
"((('2020-01-14 23:11:26.950000', -90.625), -13.938), 26.812)",1.879
"((('2020-01-14 23:11:27', -90.625), -13.938), 26.812)",1.879
"((('2020-01-14 23:11:27.050000', -78.188), -18.375), 355.687)",1.879
"((('2020-01-14 23:11:27.100000', -78.188), -18.375), 355.687)",1.797
"((('2020-01-14 23:11:27.150000', -78.188), -18.375), 355.687)",1.797
"((('2020-01-14 23:11:27.200000', -90.938), -17.875), 1.5)",1.797
"((('2020-01-14 23:11:27.250000', -90.938), -17.875), 1.5)",0.919
"((('2020-01-14 23:11:27.300000', -90.938), -17.875), 1.5)",0.919
"((('2020-01-14 23:11:27.350000', -76.563), -9.438), 8.437)",0.919
"((('2020-01-14 23:11:27.400000', -76.563), -9.438), 8.437)",1.355
"((('2020-01-14 23:11:27.450000', -76.563), -9.438), 8.437)",1.355
"((('2020-01-14 23:11:27.500000', -75.75), -9.313), 351.625)",1.355
"((('2020-01-14 23:11:27.550000', -75.75), -9.313), 351.625)",1.632
"((('2020-01-14 23:11:27.600000', -75.75), -9.313), 351.625)",1.632
"((('2020-01-14 23:11:27.650000', -88.813), -15.938), 20.125)",1.632
"((('2020-01-14 23:11:27.700000', -88.813), -15.938), 20.125)",1.254
"((('2020-01-14 23:11:27.750000', -88.813), -15.938), 20.125)",1.254
"((('2020-01-14 23:11:27.800000', -79.125), -12.813), 5.937)",1.254
"((('2020-01-14 23:11:27.850000', -79.125), -12.813), 5.937)",1.513
"((('2020-01-14 23:11:27.900000', -79.125), -12.813), 5.937)",1.513
"((('2020-01-14 23:11:27.950000', -77.813), -13.5), 347.875)",1.513
"((('2020-01-14 23:11:28', -77.813), -13.5), 347.875)",1.883
"((('2020-01-14 23:11:28.050000', -89.063), -15.0), 26.812)",1.883
"((('2020-01-14 23:11:28.100000', -89.063), -15.0), 26.812)",1.883
"((('2020-01-14 23:11:28.150000', -89.063), -15.0), 26.812)",1.639
"((('2020-01-14 23:11:28.200000', -76.125), -13.188), 353.687)",1.639
"((('2020-01-14 23:11:28.250000', -76.125), -13.188), 353.687)",1.639
"((('2020-01-14 23:11:28.300000', -76.125), -13.188), 353.687)",1.56
"((('2020-01-14 23:11:28.350000', -85.375), -11.938), 5.5)",1.56
"((('2020-01-14 23:11:28.400000', -85.375), -11.938), 5.5)",1.123
"((('2020-01-14 23:11:28.450000', -85.375), -11.938), 5.5)",1.123
"((('2020-01-14 23:11:28.500000', -81.625), -10.438), 17.937)",1.123
"((('2020-01-14 23:11:28.550000', -81.625), -10.438), 17.937)",1.585
"((('2020-01-14 23:11:28.600000', -81.625), -10.438), 17.937)",1.585
