,tilt1,tilt2,compass,accelerometer,ax,ay,az,ID,sx,sy,sz,type,type_str,Max_Speed,Max_Angle
35,-47.875,-48.688,183.687,1.011,-674.0,-708.0,260.0,4,-233.33,-228.13,206.04000000000002,3,Forehand,0.98,37.5
36,-130.625,-40.5,334.0,0.997,-815.0,-537.0,204.0,5,0.0,0.0,0.0,3,Forehand,2.242,44.831
37,-130.0,-21.0,347.93699999999995,0.937,-782.0,-388.0,343.0,5,-8.15,-5.370000000000001,2.0400000000000005,3,Forehand,2.242,44.831
38,-129.313,-17.063,352.31199999999995,2.029,-1939.0,-405.0,443.0,5,-24.119999999999997,-14.620000000000001,7.510000000000002,3,Forehand,2.242,44.831
39,-129.313,-17.063,352.31199999999995,2.029,-1939.0,-405.0,443.0,5,-59.480000000000004,-27.92,17.410000000000004,3,Forehand,2.242,44.831
40,-114.31299999999999,-47.875,339.93699999999995,3.502,-3411.0,-794.0,-27.0,5,-114.23,-45.27,31.740000000000006,3,Forehand,2.242,44.831
41,-2.875,-47.188,204.062,1.472,-1362.0,-271.0,-489.0,5,-203.09000000000003,-70.56,45.80000000000001,3,Forehand,2.242,44.831
42,-2.875,-47.188,204.062,1.472,-1362.0,-271.0,-489.0,5,-305.57000000000005,-98.56,54.97000000000001,3,Forehand,2.242,44.831
43,-9.937999999999999,-9.0,187.562,0.5479999999999999,-139.0,-398.0,-351.0,5,-421.6700000000001,-129.27,59.250000000000014,3,Forehand,2.242,44.831
44,-14.812999999999999,-1.188,181.625,0.857,-464.0,-577.0,432.0,5,-539.1600000000001,-163.96,60.02000000000002,3,Forehand,2.242,44.831
45,-114.625,-26.0,338.56199999999995,0.6459999999999999,-256.0,-435.0,-404.0,6,0.0,0.0,0.0,3,Forehand,1.528,38.912
46,-110.625,-10.25,330.375,0.889,-257.0,-837.0,-154.0,6,-2.5600000000000005,-4.3500000000000005,-4.040000000000001,3,Forehand,1.528,38.912
47,-98.06299999999999,4.437,327.0,1.0190000000000001,-502.0,-348.0,816.0,6,-7.690000000000001,-17.07,-9.620000000000001,3,Forehand,1.528,38.912
48,-98.06299999999999,4.437,327.0,1.0190000000000001,-502.0,-348.0,816.0,6,-17.840000000000003,-33.269999999999996,-7.040000000000001,3,Forehand,1.528,38.912
49,-60.688,5.0,313.187,2.312,-1730.0,-287.0,1508.0,6,-33.010000000000005,-52.95,3.700000000000001,3,Forehand,1.528,38.912
50,-18.438,-22.313000000000002,275.125,2.833,-2687.0,10.0,900.0,6,-65.48,-75.5,29.52000000000001,3,Forehand,1.528,38.912
51,-18.438,-22.313000000000002,275.125,2.833,-2687.0,10.0,900.0,6,-124.82000000000001,-97.95,64.34000000000002,3,Forehand,1.528,38.912
52,12.437000000000001,-31.688000000000002,194.437,1.9069999999999998,-1857.0,-437.0,-13.0,6,-211.03,-120.30000000000001,108.16000000000003,3,Forehand,1.528,38.912
53,13.0,-13.437999999999999,155.062,0.636,-314.0,-547.0,83.0,6,-315.81,-147.02,151.85000000000002,3,Forehand,1.528,38.912
54,-67.063,-76.438,202.562,0.89,-604.0,-620.0,-208.0,7,0.0,0.0,0.0,3,Forehand,0.897,94.366
55,-104.0,-72.063,212.125,1.197,-771.0,-873.0,280.0,7,-6.040000000000001,-6.2,-2.08,3,Forehand,0.897,94.366
56,-76.938,-72.125,184.562,0.679,-64.0,-133.0,663.0,7,-19.79,-21.130000000000003,-1.36,3,Forehand,0.897,94.366
57,-76.938,-72.125,184.562,0.679,-64.0,-133.0,663.0,7,-34.18,-37.39,5.99,3,Forehand,0.897,94.366
58,-15.562999999999999,-60.25,117.31200000000001,2.298,-1746.0,-632.0,1354.0,7,-49.21,-54.980000000000004,19.970000000000002,3,Forehand,0.897,94.366
59,-6.938,-42.5,90.81200000000001,0.546,-485.0,-151.0,-201.0,7,-81.7,-78.89000000000001,47.49000000000001,3,Forehand,0.897,94.366
60,-6.938,-42.5,90.81200000000001,0.546,-485.0,-151.0,-201.0,7,-119.04,-104.31000000000002,73.00000000000001,3,Forehand,0.897,94.366
61,-7.688,-35.75,78.437,1.879,-1393.0,-678.0,1065.0,7,-161.23000000000002,-131.24,96.50000000000003,3,Forehand,0.897,94.366
62,-10.187999999999999,-34.25,86.625,0.434,168.0,-343.0,208.0,7,-217.35000000000002,-164.95000000000002,130.65000000000003,3,Forehand,0.897,94.366
63,-54.125,-59.625,319.875,0.87,-297.0,-421.0,702.0,8,0.0,0.0,0.0,3,Forehand,1.063,43.76
64,-47.25,-49.125,295.937,1.84,-1532.0,-542.0,864.0,8,-2.9700000000000006,-4.21,7.0200000000000005,3,Forehand,1.063,43.76
65,-47.25,-53.063,280.625,0.345,-178.0,-150.0,-255.0,8,-21.260000000000005,-13.840000000000003,22.680000000000003,3,Forehand,1.063,43.76
66,-47.25,-53.063,280.625,0.345,-178.0,-150.0,-255.0,8,-41.33000000000001,-24.970000000000006,35.790000000000006,3,Forehand,1.063,43.76
67,-56.375,-53.5,278.125,2.125,-1901.0,-854.0,417.0,8,-63.18000000000002,-37.60000000000001,46.35000000000001,3,Forehand,1.063,43.76
68,-63.875,-49.0,284.937,0.9179999999999999,-676.0,-574.0,238.0,8,-104.04000000000003,-58.77000000000001,61.08000000000001,3,Forehand,1.063,43.76
69,-63.875,-49.0,284.937,0.9179999999999999,-676.0,-574.0,238.0,8,-151.66000000000005,-85.68,78.19000000000001,3,Forehand,1.063,43.76
70,-74.688,-57.563,303.187,0.377,-207.0,-306.0,-78.0,8,-206.04000000000008,-118.33000000000001,97.68000000000002,3,Forehand,1.063,43.76
71,-101.375,-56.25,321.562,2.138,-2024.0,-665.0,-186.0,8,-262.4900000000001,-154.04000000000002,116.39000000000003,3,Forehand,1.063,43.76
72,-71.625,-59.188,237.812,1.004,-878.0,-312.0,374.0,9,0.0,0.0,0.0,3,Forehand,1.233,37.279
73,-44.0,-56.625,172.375,0.7170000000000001,-169.0,628.0,304.0,9,-8.780000000000001,-3.1200000000000006,3.74,3,Forehand,1.233,37.279
74,-14.062999999999999,-31.25,105.5,1.197,-842.0,110.0,844.0,9,-19.250000000000004,0.03999999999999959,10.52,3,Forehand,1.233,37.279
75,-14.062999999999999,-31.25,105.5,1.197,-842.0,110.0,844.0,9,-38.14000000000001,4.300000000000001,25.74,3,Forehand,1.233,37.279
76,-3.938,-9.062999999999999,62.062,2.202,-1671.0,-1016.0,1013.0,9,-65.45000000000002,9.66,49.4,3,Forehand,1.233,37.279
77,-21.375,-24.188000000000002,73.062,1.334,-729.0,-1013.0,473.0,9,-109.47000000000003,4.859999999999999,83.19,3,Forehand,1.233,37.279
78,-21.375,-24.188000000000002,73.062,1.334,-729.0,-1013.0,473.0,9,-160.78000000000003,-10.070000000000002,121.71000000000001,3,Forehand,1.233,37.279
79,-71.188,-39.938,163.687,1.9969999999999999,-1829.0,-471.0,-650.0,9,-219.38000000000002,-35.13,164.96,3,Forehand,1.233,37.279
80,-62.938,-28.813000000000002,187.562,1.347,-1163.0,-680.0,14.0,9,-296.27000000000004,-64.9,201.71,3,Forehand,1.233,37.279
81,-96.25,-10.875,353.43699999999995,1.4240000000000002,-1036.0,-974.0,-80.0,10,0.0,0.0,0.0,3,Forehand,1.99,52.105
82,-88.375,-1.9380000000000002,346.31199999999995,1.281,-876.0,-316.0,880.0,10,-10.360000000000001,-9.740000000000002,-0.8,3,Forehand,1.99,52.105
83,-76.875,-15.062999999999999,333.375,1.5659999999999998,-1501.0,-78.0,443.0,10,-29.480000000000004,-22.64,7.2,3,Forehand,1.99,52.105
84,-76.875,-15.062999999999999,333.375,1.5659999999999998,-1501.0,-78.0,443.0,10,-63.61000000000001,-36.32,19.630000000000003,3,Forehand,1.99,52.105
85,-60.313,-50.063,292.437,3.236,-3013.0,-1182.0,-22.0,10,-112.75,-50.78,36.49000000000001,3,Forehand,1.99,52.105
86,-0.938,-36.938,209.0,1.271,-1031.0,-692.0,-272.0,10,-192.02,-77.06,53.13000000000001,3,Forehand,1.99,52.105
87,-0.938,-36.938,209.0,1.271,-1031.0,-692.0,-272.0,10,-281.6,-110.26,67.05000000000001,3,Forehand,1.99,52.105
88,-10.5,-19.563,183.625,0.767,-615.0,-444.0,119.0,10,-381.49,-150.38,78.25000000000001,3,Forehand,1.99,52.105
89,-15.187999999999999,-26.813000000000002,175.187,1.389,-1239.0,-623.0,80.0,10,-487.53000000000003,-194.94,90.64000000000001,3,Forehand,1.99,52.105
90,-70.438,-75.063,228.0,0.9470000000000001,-656.0,-620.0,-288.0,11,0.0,0.0,0.0,3,Forehand,0.969,178.136
91,-122.125,-60.063,256.562,1.113,-885.0,-674.0,-48.0,11,-6.560000000000001,-6.2,-2.8800000000000003,3,Forehand,0.969,178.136
92,-125.25,-55.438,259.812,0.44,-66.0,-303.0,313.0,11,-21.970000000000006,-19.14,-6.24,3,Forehand,0.969,178.136
93,-125.25,-55.438,259.812,0.44,-66.0,-303.0,313.0,11,-38.040000000000006,-35.11,-6.470000000000001,3,Forehand,0.969,178.136
94,-121.625,-62.438,265.312,2.035,-1827.0,-805.0,398.0,11,-54.77000000000001,-54.11,-3.5700000000000003,3,Forehand,0.969,178.136
95,-115.93799999999999,-71.188,255.625,0.8690000000000001,-748.0,-381.0,-225.0,11,-89.77000000000001,-81.16,3.3100000000000014,3,Forehand,0.969,178.136
96,-115.93799999999999,-71.188,255.625,0.8690000000000001,-748.0,-381.0,-225.0,11,-132.25,-112.02,7.940000000000003,3,Forehand,0.969,178.136
97,-112.31299999999999,-77.063,242.625,0.883,-522.0,-352.0,-620.0,11,-182.21,-146.69,10.320000000000004,3,Forehand,0.969,178.136
98,-125.25,-74.875,249.437,1.7209999999999999,-1523.0,-685.0,-419.0,11,-237.39000000000001,-184.88,6.500000000000005,3,Forehand,0.969,178.136
99,-97.75,-24.5,358.68699999999995,1.0,-641.0,-764.0,75.0,12,0.0,0.0,0.0,3,Forehand,1.724,46.613
100,-108.18799999999999,-12.875,10.812000000000001,0.8059999999999999,-365.0,-698.0,174.0,12,-6.410000000000001,-7.640000000000001,0.75,3,Forehand,1.724,46.613
101,-111.93799999999999,-8.625,19.312,0.775,-593.0,-435.0,245.0,12,-16.470000000000002,-22.259999999999998,3.24,3,Forehand,1.724,46.613
102,-111.93799999999999,-8.625,19.312,0.775,-593.0,-435.0,245.0,12,-32.46000000000001,-41.23,8.180000000000001,3,Forehand,1.724,46.613
103,-122.68799999999999,-21.875,19.437,2.483,-2441.0,25.0,-459.0,12,-54.38000000000001,-64.55,15.570000000000002,3,Forehand,1.724,46.613
104,-121.875,-69.625,325.75,2.6489999999999996,-2601.0,-328.0,-384.0,12,-100.71000000000002,-87.62,18.37,3,Forehand,1.724,46.613
105,-121.875,-69.625,325.75,2.6489999999999996,-2601.0,-328.0,-384.0,12,-173.05000000000004,-113.97,17.330000000000002,3,Forehand,1.724,46.613
106,-20.5,-27.063000000000002,206.812,1.048,-1029.0,-190.0,-64.0,12,-271.4000000000001,-143.6,12.45,3,Forehand,1.724,46.613
107,-20.813000000000002,-1.625,196.625,0.598,-444.0,-361.0,174.0,12,-380.0400000000001,-175.13,6.929999999999998,3,Forehand,1.724,46.613
108,-91.125,-8.125,4.875,1.062,-751.0,-727.0,-189.0,13,0.0,0.0,0.0,3,Forehand,2.535,53.417
109,-87.56299999999999,-6.5,3.687,1.686,-1431.0,-503.0,738.0,13,-7.510000000000002,-7.2700000000000005,-1.8900000000000003,3,Forehand,2.535,53.417
110,-57.125,-27.625,341.68699999999995,2.7460000000000004,-2731.0,-244.0,162.0,13,-29.330000000000002,-19.57,3.5999999999999988,3,Forehand,2.535,53.417
111,-57.125,-27.625,341.68699999999995,2.7460000000000004,-2731.0,-244.0,162.0,13,-78.46000000000001,-34.31,10.709999999999997,3,Forehand,2.535,53.417
112,-16.063,-43.125,248.125,2.8,-2669.0,-715.0,-459.0,13,-154.90000000000003,-51.49000000000001,19.439999999999998,3,Forehand,2.535,53.417
113,-13.187999999999999,-21.5,203.0,1.131,-1001.0,-498.0,-174.0,13,-258.0300000000001,-75.82000000000001,23.58,3,Forehand,2.535,53.417
114,-13.187999999999999,-21.5,203.0,1.131,-1001.0,-498.0,-174.0,13,-371.1700000000001,-105.13000000000001,25.979999999999997,3,Forehand,2.535,53.417
115,-11.0,-17.375,186.562,0.951,-669.0,-530.0,420.0,13,-494.32000000000005,-139.42000000000002,26.639999999999997,3,Forehand,2.535,53.417
116,-14.562999999999999,-29.25,194.312,1.6340000000000001,-1335.0,-273.0,903.0,13,-624.1600000000001,-179.01000000000002,31.499999999999996,3,Forehand,2.535,53.417
