starttime,value
2020-01-13 15:30:57.600000,-6.5
2020-01-13 15:30:57.800000,-6.5
2020-01-13 15:30:58,-6.5
2020-01-13 15:30:58.200000,-6.5
2020-01-13 15:30:58.400000,-6.5
2020-01-13 15:30:58.600000,-6.5
2020-01-13 15:30:58.800000,-6.5
2020-01-13 15:30:59,-6.5
2020-01-13 15:30:59.200000,-6.5
2020-01-13 15:30:59.400000,-6.5
2020-01-13 15:30:59.600000,-6.375
2020-01-13 15:30:59.800000,-6.5
2020-01-13 15:31:00,-6.5
2020-01-13 15:31:00.200000,-6.625
2020-01-13 15:31:00.400000,-2.625
2020-01-13 15:31:00.600000,-5.313
2020-01-13 15:31:00.800000,-22.0
2020-01-13 15:31:01,-3.188
2020-01-13 15:31:01.200000,37.125
2020-01-13 15:31:01.400000,38.812
2020-01-13 15:31:01.600000,34.375
2020-01-13 15:31:01.800000,35.812
2020-01-13 15:31:02,36.687
2020-01-13 15:31:02.200000,37.187
2020-01-13 15:31:02.400000,37.625
2020-01-13 15:31:02.600000,38.312
2020-01-13 15:31:02.800000,41.562
