starttime,value
2020-01-13 15:50:36.200000,-3.125
2020-01-13 15:50:36.400000,-3.125
2020-01-13 15:50:36.600000,-3.125
2020-01-13 15:50:36.800000,-3.188
2020-01-13 15:50:37,-3.0
2020-01-13 15:50:37.200000,-3.188
2020-01-13 15:50:37.400000,-3.188
2020-01-13 15:50:37.600000,-3.0
2020-01-13 15:50:37.800000,-3.0
2020-01-13 15:50:38,-3.063
2020-01-13 15:50:38.200000,-3.063
2020-01-13 15:50:38.400000,-3.25
2020-01-13 15:50:38.600000,-3.125
2020-01-13 15:50:38.800000,-9.313
2020-01-13 15:50:39,-5.313
2020-01-13 15:50:39.200000,9.375
2020-01-13 15:50:39.400000,13.187
2020-01-13 15:50:39.600000,9.437
2020-01-13 15:50:39.800000,17.812
2020-01-13 15:50:40,14.437
2020-01-13 15:50:40.200000,8.75
2020-01-13 15:50:40.400000,11.875
2020-01-13 15:50:40.600000,12.125
2020-01-13 15:50:40.800000,16.75
2020-01-13 15:50:41,19.937
2020-01-13 15:50:41.200000,19.5
2020-01-13 15:50:41.400000,20.75
2020-01-13 15:50:41.600000,16.562
2020-01-13 15:50:41.800000,11.5
2020-01-13 15:50:42,13.125
2020-01-13 15:50:42.200000,22.0
2020-01-13 15:50:42.400000,28.25
2020-01-13 15:50:42.600000,29.687
2020-01-13 15:50:42.800000,32.187
2020-01-13 15:50:43,30.0
2020-01-13 15:50:43.200000,30.875
2020-01-13 15:50:43.400000,32.75
2020-01-13 15:50:43.600000,29.625
2020-01-13 15:50:43.800000,30.812
2020-01-13 15:50:44,34.687
2020-01-13 15:50:44.200000,35.562
2020-01-13 15:50:44.400000,36.312
2020-01-13 15:50:44.600000,37.0
2020-01-13 15:50:44.800000,37.875
2020-01-13 15:50:45,36.125
2020-01-13 15:50:45.200000,34.125
2020-01-13 15:50:45.400000,22.625
2020-01-13 15:50:45.600000,15.687
2020-01-13 15:50:45.800000,16.062
2020-01-13 15:50:46,19.375
2020-01-13 15:50:46.200000,18.25
2020-01-13 15:50:46.400000,18.0
2020-01-13 15:50:46.600000,13.937
2020-01-13 15:50:46.800000,8.062
2020-01-13 15:50:47,6.75
2020-01-13 15:50:47.200000,4.687
2020-01-13 15:50:47.400000,2.187
2020-01-13 15:50:47.600000,1.437
2020-01-13 15:50:47.800000,-1.125
2020-01-13 15:50:48,0.062
2020-01-13 15:50:48.200000,0.812
2020-01-13 15:50:48.400000,2.062
2020-01-13 15:50:48.600000,7.875
2020-01-13 15:50:48.800000,10.875
2020-01-13 15:50:49,11.125
2020-01-13 15:50:49.200000,9.937
2020-01-13 15:50:49.400000,9.937
2020-01-13 15:50:49.600000,12.937
2020-01-13 15:50:49.800000,15.0
2020-01-13 15:50:50,18.125
2020-01-13 15:50:50.200000,19.25
2020-01-13 15:50:50.400000,16.875
2020-01-13 15:50:50.600000,17.375
2020-01-13 15:50:50.800000,19.125
2020-01-13 15:50:51,22.625
2020-01-13 15:50:51.200000,20.375
2020-01-13 15:50:51.400000,21.687
2020-01-13 15:50:51.600000,21.125
2020-01-13 15:50:51.800000,20.937
2020-01-13 15:50:52,20.25
2020-01-13 15:50:52.200000,21.125
