start,end,avg
2020-01-10 23:21:37,2020-01-10 23:21:37.200000,-3.188,g
2020-01-10 23:21:37.200000,2020-01-10 23:21:37.400000,-3.313,g
2020-01-10 23:21:37.400000,2020-01-10 23:21:37.600000,-3.5,g
2020-01-10 23:21:37.600000,2020-01-10 23:21:37.800000,-3.5,g
2020-01-10 23:21:37.800000,2020-01-10 23:21:38,-3.5,g
2020-01-10 23:21:38,2020-01-10 23:21:38.200000,-3.5,g
2020-01-10 23:21:38.200000,2020-01-10 23:21:38.400000,-3.5,g
2020-01-10 23:21:38.400000,2020-01-10 23:21:38.600000,-3.5,g
2020-01-10 23:21:38.600000,2020-01-10 23:21:38.800000,-3.5,g
2020-01-10 23:21:38.800000,2020-01-10 23:21:39,-3.5,g
2020-01-10 23:21:39,2020-01-10 23:21:39.200000,-3.5,g
2020-01-10 23:21:39.200000,2020-01-10 23:21:39.400000,-3.5,g
2020-01-10 23:21:39.400000,2020-01-10 23:21:39.600000,-3.5,g
2020-01-10 23:21:39.600000,2020-01-10 23:21:39.800000,-3.5,g
2020-01-10 23:21:39.800000,2020-01-10 23:21:40,-3.5,g
2020-01-10 23:21:40,2020-01-10 23:21:40.200000,-3.5,g
2020-01-10 23:21:40.200000,2020-01-10 23:21:40.400000,-3.5,g
2020-01-10 23:21:40.400000,2020-01-10 23:21:40.600000,-3.5,g
2020-01-10 23:21:40.600000,2020-01-10 23:21:40.800000,-3.5,g
2020-01-10 23:21:40.800000,2020-01-10 23:21:41,-3.5,g
2020-01-10 23:21:41,2020-01-10 23:21:41.200000,-3.5,g
2020-01-10 23:21:41.200000,2020-01-10 23:21:41.400000,-3.5,g
2020-01-10 23:21:41.400000,2020-01-10 23:21:41.600000,-3.5,g
2020-01-10 23:21:41.600000,2020-01-10 23:21:41.800000,-3.5,g
2020-01-10 23:21:41.800000,2020-01-10 23:21:42,-3.5,g
2020-01-10 23:21:42,2020-01-10 23:21:42.200000,-3.5,g
2020-01-10 23:21:42.200000,2020-01-10 23:21:42.400000,-3.5,g
2020-01-10 23:21:42.400000,2020-01-10 23:21:42.600000,-3.5,g
2020-01-10 23:21:42.600000,2020-01-10 23:21:42.800000,-3.5,g
2020-01-10 23:21:42.800000,2020-01-10 23:21:43,-3.5,g
2020-01-10 23:21:43,2020-01-10 23:21:43.200000,-3.5,g
2020-01-10 23:21:43.200000,2020-01-10 23:21:43.400000,-3.5,g
2020-01-10 23:21:43.400000,2020-01-10 23:21:43.600000,-3.5,g
2020-01-10 23:21:43.600000,2020-01-10 23:21:43.800000,-3.5,g
2020-01-10 23:21:43.800000,2020-01-10 23:21:44,-3.5,g
2020-01-10 23:21:44,2020-01-10 23:21:44.200000,-3.5,g
2020-01-10 23:21:44.200000,2020-01-10 23:21:44.400000,-3.5,g
2020-01-10 23:21:44.400000,2020-01-10 23:21:44.600000,-3.5,g
2020-01-10 23:21:44.600000,2020-01-10 23:21:44.800000,-3.5,g
2020-01-10 23:21:44.800000,2020-01-10 23:21:45,-3.5,g
2020-01-10 23:21:45,2020-01-10 23:21:45.200000,-3.5,g
2020-01-10 23:21:45.200000,2020-01-10 23:21:45.400000,-3.5,g
2020-01-10 23:21:45.400000,2020-01-10 23:21:45.600000,-3.5,g
2020-01-10 23:21:45.600000,2020-01-10 23:21:45.800000,-3.5,g
2020-01-10 23:21:45.800000,2020-01-10 23:21:46,-3.5,g
2020-01-10 23:21:46,2020-01-10 23:21:46.200000,-3.5,g
2020-01-10 23:21:46.200000,2020-01-10 23:21:46.400000,-3.5,g
2020-01-10 23:21:46.400000,2020-01-10 23:21:46.600000,-3.5,g
2020-01-10 23:21:46.600000,2020-01-10 23:21:46.800000,-3.5,g
2020-01-10 23:21:46.800000,2020-01-10 23:21:47,-3.5,g
2020-01-10 23:21:47,2020-01-10 23:21:47.200000,-3.5,g
2020-01-10 23:21:47.200000,2020-01-10 23:21:47.400000,-3.5,g
2020-01-10 23:21:47.400000,2020-01-10 23:21:47.600000,-3.5,g
2020-01-10 23:21:47.600000,2020-01-10 23:21:47.800000,-3.5,g
2020-01-10 23:21:47.800000,2020-01-10 23:21:48,-3.5,g
