"time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,t1,t2,compass"
2020-01-09 17:03:58.056190,-0.558,-0.611,-0.677,-66.0,-5.75,-41.437,-139.5,-29.1,187.6
2020-01-09 17:04:04.882480,-0.581,-0.31,-0.711,-6.5,-1.5,-4.375,-158.4,-35.0,207.5
