starttime,value
2020-01-13 15:04:35.400000,-33.0
2020-01-13 15:04:35.600000,-34.563
2020-01-13 15:04:35.800000,-35.313
2020-01-13 15:04:36,-36.0
2020-01-13 15:04:36.200000,-36.5
2020-01-13 15:04:36.400000,-37.25
2020-01-13 15:04:36.600000,-36.313
2020-01-13 15:04:36.800000,-36.438
2020-01-13 15:04:37,-36.375
2020-01-13 15:04:37.200000,-37.125
2020-01-13 15:04:37.400000,-37.25
2020-01-13 15:04:37.600000,-37.625
2020-01-13 15:04:37.800000,-37.875
2020-01-13 15:04:38,-38.313
2020-01-13 15:04:38.200000,-37.875
2020-01-13 15:04:38.400000,-38.188
2020-01-13 15:04:38.600000,-38.938
2020-01-13 15:04:38.800000,-38.625
2020-01-13 15:04:39,-39.188
2020-01-13 15:04:39.200000,-38.938
2020-01-13 15:04:39.400000,-38.25
2020-01-13 15:04:39.600000,-38.75
2020-01-13 15:04:39.800000,-39.688
2020-01-13 15:04:40,-40.5
2020-01-13 15:04:40.200000,-85.063
2020-01-13 15:04:40.400000,-165.563
2020-01-13 15:04:40.600000,-43.625
2020-01-13 15:04:40.800000,-133.938
2020-01-13 15:04:41,-62.938
2020-01-13 15:04:41.200000,-53.5
2020-01-13 15:04:41.400000,-46.25
2020-01-13 15:04:41.600000,-23.938
2020-01-13 15:04:41.800000,-15.313
2020-01-13 15:04:42,-19.938
2020-01-13 15:04:42.200000,-135.438
2020-01-13 15:04:42.400000,154.375
2020-01-13 15:04:42.600000,-69.813
2020-01-13 15:04:42.800000,-113.813
2020-01-13 15:04:43,-70.063
2020-01-13 15:04:43.200000,-24.5
2020-01-13 15:04:43.400000,-16.25
2020-01-13 15:04:43.600000,-12.375
2020-01-13 15:04:43.800000,-32.625
2020-01-13 15:04:44,-45.5
2020-01-13 15:04:44.200000,-43.938
2020-01-13 15:04:44.400000,-46.063
2020-01-13 15:04:44.600000,-45.563
2020-01-13 15:04:44.800000,-44.125
2020-01-13 15:04:45,-44.688
2020-01-13 15:04:45.200000,-41.938
2020-01-13 15:04:45.400000,-40.813
2020-01-13 15:04:45.600000,-40.063
2020-01-13 15:04:45.800000,-40.75
2020-01-13 15:04:46,-38.375
2020-01-13 15:04:46.200000,-48.563
2020-01-13 15:04:46.400000,-43.375
2020-01-13 15:04:46.600000,-42.625
2020-01-13 15:04:46.800000,-42.063
2020-01-13 15:04:47,-42.25
2020-01-13 15:04:47.200000,-42.938
2020-01-13 15:04:47.400000,-45.563
2020-01-13 15:04:47.600000,-47.375
2020-01-13 15:04:47.800000,-47.375
2020-01-13 15:04:48,-46.438
2020-01-13 15:04:48.200000,-77.438
2020-01-13 15:04:48.400000,-43.5
2020-01-13 15:04:48.600000,-45.813
2020-01-13 15:04:48.800000,-52.125
2020-01-13 15:04:49,-51.125
2020-01-13 15:04:49.200000,-54.75
2020-01-13 15:04:49.400000,-57.125
2020-01-13 15:04:49.600000,-67.313
2020-01-13 15:04:49.800000,-61.313
2020-01-13 15:04:50,-83.063
