start,end,avg
2020-01-10 20:19:40,2020-01-10 20:19:40.200000,0.0,g
2020-01-10 20:19:40.200000,2020-01-10 20:19:40.400000,0.0,g
2020-01-10 20:19:40.400000,2020-01-10 20:19:40.600000,0.207,g
2020-01-10 20:19:40.600000,2020-01-10 20:19:40.800000,0.062,g
2020-01-10 20:19:40.800000,2020-01-10 20:19:41,0.139,g
2020-01-10 20:19:41,2020-01-10 20:19:41.200000,0.062,g
2020-01-10 20:19:41.200000,2020-01-10 20:19:41.400000,0.139,g
2020-01-10 20:19:41.400000,2020-01-10 20:19:41.600000,0.125,g
2020-01-10 20:19:41.600000,2020-01-10 20:19:41.800000,0.279,g
2020-01-10 20:19:41.800000,2020-01-10 20:19:42,0.153,g
2020-01-10 20:19:42,2020-01-10 20:19:42.200000,0.265,g
2020-01-10 20:19:42.200000,2020-01-10 20:19:42.400000,0.279,g
2020-01-10 20:19:42.400000,2020-01-10 20:19:42.600000,0.197,g
2020-01-10 20:19:42.600000,2020-01-10 20:19:42.800000,0.176,g
2020-01-10 20:19:42.800000,2020-01-10 20:19:43,0.405,g
2020-01-10 20:19:43,2020-01-10 20:19:43.200000,0.216,g
2020-01-10 20:19:43.200000,2020-01-10 20:19:43.400000,0.153,g
2020-01-10 20:19:43.400000,2020-01-10 20:19:43.600000,0.062,g
2020-01-10 20:19:43.600000,2020-01-10 20:19:43.800000,0.216,g
2020-01-10 20:19:43.800000,2020-01-10 20:19:44,0.088,g
2020-01-10 20:19:44,2020-01-10 20:19:44.200000,0.125,g
2020-01-10 20:19:44.200000,2020-01-10 20:19:44.400000,0.187,g
2020-01-10 20:19:44.400000,2020-01-10 20:19:44.600000,0.088,g
2020-01-10 20:19:44.600000,2020-01-10 20:19:44.800000,0.286,g
2020-01-10 20:19:44.800000,2020-01-10 20:19:45,0.139,g
2020-01-10 20:19:45,2020-01-10 20:19:45.200000,0.0,g
2020-01-10 20:19:45.200000,2020-01-10 20:19:45.400000,0.0,g
2020-01-10 20:19:45.400000,2020-01-10 20:19:45.600000,0.108,g
2020-01-10 20:19:45.600000,2020-01-10 20:19:45.800000,0.125,g
2020-01-10 20:19:45.800000,2020-01-10 20:19:46,0.062,g
2020-01-10 20:19:46,2020-01-10 20:19:46.200000,0.0,g
2020-01-10 20:19:46.200000,2020-01-10 20:19:46.400000,0.187,g
2020-01-10 20:19:46.400000,2020-01-10 20:19:46.600000,0.139,g
2020-01-10 20:19:46.600000,2020-01-10 20:19:46.800000,0.187,g
2020-01-10 20:19:46.800000,2020-01-10 20:19:47,0.062,g
2020-01-10 20:19:47,2020-01-10 20:19:47.200000,0.225,g
2020-01-10 20:19:47.200000,2020-01-10 20:19:47.400000,0.225,g
2020-01-10 20:19:47.400000,2020-01-10 20:19:47.600000,0.062,g
2020-01-10 20:19:47.600000,2020-01-10 20:19:47.800000,0.0,g
2020-01-10 20:19:47.800000,2020-01-10 20:19:48,0.139,g
2020-01-10 20:19:48,2020-01-10 20:19:48.200000,0.0,g
2020-01-10 20:19:48.200000,2020-01-10 20:19:48.400000,0.153,g
2020-01-10 20:19:48.400000,2020-01-10 20:19:48.600000,0.125,g
2020-01-10 20:19:48.600000,2020-01-10 20:19:48.800000,0.108,g
2020-01-10 20:19:48.800000,2020-01-10 20:19:49,0.088,g
2020-01-10 20:19:49,2020-01-10 20:19:49.200000,0.176,g
2020-01-10 20:19:49.200000,2020-01-10 20:19:49.400000,0.108,g
2020-01-10 20:19:49.400000,2020-01-10 20:19:49.600000,0.139,g
2020-01-10 20:19:49.600000,2020-01-10 20:19:49.800000,0.088,g
2020-01-10 20:19:49.800000,2020-01-10 20:19:50,0.062,g
2020-01-10 20:19:50,2020-01-10 20:19:50.200000,0.0,g
2020-01-10 20:19:50.200000,2020-01-10 20:19:50.400000,0.197,g
2020-01-10 20:19:50.400000,2020-01-10 20:19:50.600000,0.062,g
2020-01-10 20:19:50.600000,2020-01-10 20:19:50.800000,0.088,g
2020-01-10 20:19:50.800000,2020-01-10 20:19:51,0.062,g
2020-01-10 20:19:51,2020-01-10 20:19:51.200000,0.187,g
2020-01-10 20:19:51.200000,2020-01-10 20:19:51.400000,0.153,g
2020-01-10 20:19:51.400000,2020-01-10 20:19:51.600000,0.187,g
2020-01-10 20:19:51.600000,2020-01-10 20:19:51.800000,0.125,g
