starttime,value
2020-01-14 14:05:33.600000,0.062
2020-01-14 14:05:33.800000,0.0
2020-01-14 14:05:34,-0.188
2020-01-14 14:05:34.200000,0.062
2020-01-14 14:05:34.400000,0.25
2020-01-14 14:05:34.600000,0.062
2020-01-14 14:05:34.800000,0.187
2020-01-14 14:05:35,0.125
2020-01-14 14:05:35.200000,0.062
2020-01-14 14:05:35.400000,0.125
2020-01-14 14:05:35.600000,0.187
2020-01-14 14:05:35.800000,2.687
2020-01-14 14:05:36,6.25
2020-01-14 14:05:36.200000,7.875
2020-01-14 14:05:36.400000,15.437
2020-01-14 14:05:36.600000,11.562
2020-01-14 14:05:36.800000,7.625
2020-01-14 14:05:37,4.875
2020-01-14 14:05:37.200000,7.75
2020-01-14 14:05:37.400000,17.687
2020-01-14 14:05:37.600000,10.875
2020-01-14 14:05:37.800000,0.75
2020-01-14 14:05:38,1.437
2020-01-14 14:05:38.200000,0.0
2020-01-14 14:05:38.400000,1.125
2020-01-14 14:05:38.600000,0.562
2020-01-14 14:05:38.800000,-0.625
2020-01-14 14:05:39,-0.313
2020-01-14 14:05:39.200000,-0.063
2020-01-14 14:05:39.400000,1.187
2020-01-14 14:05:39.600000,3.937
2020-01-14 14:05:39.800000,8.75
2020-01-14 14:05:40,7.375
2020-01-14 14:05:40.200000,8.187
2020-01-14 14:05:40.400000,17.125
2020-01-14 14:05:40.600000,17.5
2020-01-14 14:05:40.800000,9.625
2020-01-14 14:05:41,-1.063
2020-01-14 14:05:41.200000,1.062
2020-01-14 14:05:41.400000,2.625
2020-01-14 14:05:41.600000,9.875
2020-01-14 14:05:41.800000,3.562
2020-01-14 14:05:42,7.0
2020-01-14 14:05:42.200000,0.0
2020-01-14 14:05:42.400000,4.5
2020-01-14 14:05:42.600000,7.25
2020-01-14 14:05:42.800000,6.375
2020-01-14 14:05:43,4.875
2020-01-14 14:05:43.200000,-0.438
2020-01-14 14:05:43.400000,0.125
2020-01-14 14:05:43.600000,0.0
2020-01-14 14:05:43.800000,-0.688
2020-01-14 14:05:44,-0.563
2020-01-14 14:05:44.200000,-1.375
2020-01-14 14:05:44.400000,-1.25
2020-01-14 14:05:44.600000,-1.813
2020-01-14 14:05:44.800000,-3.0
2020-01-14 14:05:45,-2.75
2020-01-14 14:05:45.200000,-2.375
2020-01-14 14:05:45.400000,-2.125
2020-01-14 14:05:45.600000,-2.25
2020-01-14 14:05:45.800000,-2.188
2020-01-14 14:05:46,-2.0
2020-01-14 14:05:46.200000,-1.813
2020-01-14 14:05:46.400000,-1.563
2020-01-14 14:05:46.600000,-1.125
2020-01-14 14:05:46.800000,-0.938
2020-01-14 14:05:47,0.25
2020-01-14 14:05:47.200000,-0.125
2020-01-14 14:05:47.400000,-0.063
2020-01-14 14:05:47.600000,0.062
2020-01-14 14:05:47.800000,-0.125
2020-01-14 14:05:48,-0.188
2020-01-14 14:05:48.200000,-0.063
2020-01-14 14:05:48.400000,-0.188
2020-01-14 14:05:48.600000,-0.438
2020-01-14 14:05:48.800000,-0.875
2020-01-14 14:05:49,-3.063
2020-01-14 14:05:49.200000,-3.438
2020-01-14 14:05:49.400000,-3.688
2020-01-14 14:05:49.600000,-3.438
2020-01-14 14:05:49.800000,-3.5
