starttime,value
2020-01-14 14:05:33.800000,1.03
2020-01-14 14:05:34,1.036
2020-01-14 14:05:34.200000,1.034
2020-01-14 14:05:34.400000,1.028
2020-01-14 14:05:34.600000,1.03
2020-01-14 14:05:34.800000,1.031
2020-01-14 14:05:35,1.035
2020-01-14 14:05:35.200000,1.032
2020-01-14 14:05:35.400000,1.08
2020-01-14 14:05:35.600000,1.249
2020-01-14 14:05:35.800000,1.982
2020-01-14 14:05:36,1.475
2020-01-14 14:05:36.200000,1.325
2020-01-14 14:05:36.400000,1.403
2020-01-14 14:05:36.600000,1.292
2020-01-14 14:05:36.800000,0.852
2020-01-14 14:05:37,1.359
2020-01-14 14:05:37.200000,1.239
2020-01-14 14:05:37.400000,0.788
2020-01-14 14:05:37.600000,1.287
2020-01-14 14:05:37.800000,0.999
2020-01-14 14:05:38,1.09
2020-01-14 14:05:38.200000,0.96
2020-01-14 14:05:38.400000,1.059
2020-01-14 14:05:38.600000,1.083
2020-01-14 14:05:38.800000,0.916
2020-01-14 14:05:39,1.115
2020-01-14 14:05:39.200000,0.999
2020-01-14 14:05:39.400000,1.764
2020-01-14 14:05:39.600000,1.035
2020-01-14 14:05:39.800000,1.383
2020-01-14 14:05:40,0.915
2020-01-14 14:05:40.200000,0.64
2020-01-14 14:05:40.400000,1.615
2020-01-14 14:05:40.600000,1.371
2020-01-14 14:05:40.800000,1.124
2020-01-14 14:05:41,1.016
2020-01-14 14:05:41.200000,1.715
2020-01-14 14:05:41.400000,0.776
2020-01-14 14:05:41.600000,1.723
2020-01-14 14:05:41.800000,2.05
2020-01-14 14:05:42,1.275
2020-01-14 14:05:42.200000,1.621
2020-01-14 14:05:42.400000,0.775
2020-01-14 14:05:42.600000,1.876
2020-01-14 14:05:42.800000,1.404
2020-01-14 14:05:43,1.207
2020-01-14 14:05:43.200000,0.855
2020-01-14 14:05:43.400000,1.076
2020-01-14 14:05:43.600000,0.998
2020-01-14 14:05:43.800000,0.996
2020-01-14 14:05:44,1.013
2020-01-14 14:05:44.200000,1.022
2020-01-14 14:05:44.400000,1.007
2020-01-14 14:05:44.600000,0.997
2020-01-14 14:05:44.800000,1.018
2020-01-14 14:05:45,0.983
2020-01-14 14:05:45.200000,1.006
2020-01-14 14:05:45.400000,1.023
2020-01-14 14:05:45.600000,1.012
2020-01-14 14:05:45.800000,1.034
2020-01-14 14:05:46,1.019
2020-01-14 14:05:46.200000,1.021
2020-01-14 14:05:46.400000,1.02
2020-01-14 14:05:46.600000,1.019
2020-01-14 14:05:46.800000,1.019
2020-01-14 14:05:47,1.111
2020-01-14 14:05:47.200000,1.006
2020-01-14 14:05:47.400000,1.025
2020-01-14 14:05:47.600000,1.019
2020-01-14 14:05:47.800000,1.022
2020-01-14 14:05:48,1.02
2020-01-14 14:05:48.200000,1.027
2020-01-14 14:05:48.400000,1.014
2020-01-14 14:05:48.600000,1.016
2020-01-14 14:05:48.800000,1.046
2020-01-14 14:05:49,1.033
2020-01-14 14:05:49.200000,1.036
2020-01-14 14:05:49.400000,1.03
2020-01-14 14:05:49.600000,1.019
2020-01-14 14:05:49.800000,1.035
