starttime,value
2020-01-13 12:10:41.400000,-10.313
2020-01-13 12:10:41.600000,0.0
2020-01-13 12:10:41.800000,2.687
2020-01-13 12:10:42,2.125
2020-01-13 12:10:42.200000,0.562
2020-01-13 12:10:42.400000,-0.625
2020-01-13 12:10:42.600000,0.125
2020-01-13 12:10:42.800000,0.812
2020-01-13 12:10:43,-0.188
2020-01-13 12:10:43.200000,-0.875
2020-01-13 12:10:43.400000,-3.75
2020-01-13 12:10:43.600000,-8.188
2020-01-13 12:10:43.800000,-13.0
2020-01-13 12:10:44,-15.938
2020-01-13 12:10:44.200000,-14.063
2020-01-13 12:10:44.400000,-12.75
2020-01-13 12:10:44.600000,-10.875
2020-01-13 12:10:44.800000,-9.5
2020-01-13 12:10:45,-7.375
2020-01-13 12:10:45.200000,-10.813
2020-01-13 12:10:45.400000,-14.813
2020-01-13 12:10:45.600000,-1.875
2020-01-13 12:10:45.800000,-15.188
2020-01-13 12:10:46,-19.438
2020-01-13 12:10:46.200000,-27.313
2020-01-13 12:10:46.400000,-26.125
2020-01-13 12:10:46.600000,-22.563
2020-01-13 12:10:46.800000,-30.875
2020-01-13 12:10:47,-37.875
2020-01-13 12:10:47.200000,-33.688
2020-01-13 12:10:47.400000,-1.25
2020-01-13 12:10:47.600000,21.125
2020-01-13 12:10:47.800000,15.937
2020-01-13 12:10:48,-8.813
2020-01-13 12:10:48.200000,24.0
2020-01-13 12:10:48.400000,39.812
2020-01-13 12:10:48.600000,28.437
2020-01-13 12:10:48.800000,33.25
2020-01-13 12:10:49,59.375
2020-01-13 12:10:49.200000,46.625
2020-01-13 12:10:49.400000,33.75
2020-01-13 12:10:49.600000,45.875
2020-01-13 12:10:49.800000,46.562
2020-01-13 12:10:50,3.25
2020-01-13 12:10:50.200000,1.812
2020-01-13 12:10:50.400000,64.062
2020-01-13 12:10:50.600000,18.187
2020-01-13 12:10:50.800000,29.312
2020-01-13 12:10:51,54.062
2020-01-13 12:10:51.200000,42.312
2020-01-13 12:10:51.400000,33.0
2020-01-13 12:10:51.600000,42.625
2020-01-13 12:10:51.800000,32.5
2020-01-13 12:10:52,3.5
2020-01-13 12:10:52.200000,-7.5
2020-01-13 12:10:52.400000,53.0
2020-01-13 12:10:52.600000,26.437
2020-01-13 12:10:52.800000,57.375
2020-01-13 12:10:53,42.062
2020-01-13 12:10:53.200000,10.875
2020-01-13 12:10:53.400000,-22.438
2020-01-13 12:10:53.600000,-31.0
2020-01-13 12:10:53.800000,-37.5
2020-01-13 12:10:54,-35.563
2020-01-13 12:10:54.200000,-36.5
2020-01-13 12:10:54.400000,-33.813
2020-01-13 12:10:54.600000,-38.938
2020-01-13 12:10:54.800000,-38.563
2020-01-13 12:10:55,-35.125
2020-01-13 12:10:55.200000,-35.5
2020-01-13 12:10:55.400000,-33.125
2020-01-13 12:10:55.600000,-37.313
2020-01-13 12:10:55.800000,-36.563
2020-01-13 12:10:56,-36.313
2020-01-13 12:10:56.200000,-30.75
2020-01-13 12:10:56.400000,-24.313
2020-01-13 12:10:56.600000,-13.563
2020-01-13 12:10:56.800000,38.625
2020-01-13 12:10:57,42.875
2020-01-13 12:10:57.200000,29.937
2020-01-13 12:10:57.400000,-2.938
2020-01-13 12:10:57.600000,-11.125
2020-01-13 12:10:57.800000,0.0
2020-01-13 12:10:58,-21.313
2020-01-13 12:10:58.200000,0.0
2020-01-13 12:10:58.400000,-19.25
2020-01-13 12:10:58.600000,-20.188
2020-01-13 12:10:58.800000,-20.25
