starttime,value
2020-01-13 12:10:41.400000,157.0
2020-01-13 12:10:41.600000,359.937
2020-01-13 12:10:41.800000,145.875
2020-01-13 12:10:42,141.625
2020-01-13 12:10:42.200000,137.812
2020-01-13 12:10:42.400000,141.125
2020-01-13 12:10:42.600000,142.0
2020-01-13 12:10:42.800000,144.375
2020-01-13 12:10:43,145.187
2020-01-13 12:10:43.200000,145.062
2020-01-13 12:10:43.400000,154.687
2020-01-13 12:10:43.600000,156.312
2020-01-13 12:10:43.800000,154.437
2020-01-13 12:10:44,152.875
2020-01-13 12:10:44.200000,152.25
2020-01-13 12:10:44.400000,151.625
2020-01-13 12:10:44.600000,148.125
2020-01-13 12:10:44.800000,147.312
2020-01-13 12:10:45,151.25
2020-01-13 12:10:45.200000,165.812
2020-01-13 12:10:45.400000,175.562
2020-01-13 12:10:45.600000,194.375
2020-01-13 12:10:45.800000,200.125
2020-01-13 12:10:46,209.187
2020-01-13 12:10:46.200000,224.812
2020-01-13 12:10:46.400000,216.625
2020-01-13 12:10:46.600000,215.875
2020-01-13 12:10:46.800000,236.0
2020-01-13 12:10:47,248.312
2020-01-13 12:10:47.200000,266.437
2020-01-13 12:10:47.400000,271.875
2020-01-13 12:10:47.600000,277.687
2020-01-13 12:10:47.800000,293.0
2020-01-13 12:10:48,247.687
2020-01-13 12:10:48.200000,162.062
2020-01-13 12:10:48.400000,321.875
2020-01-13 12:10:48.600000,313.5
2020-01-13 12:10:48.800000,327.062
2020-01-13 12:10:49,62.187
2020-01-13 12:10:49.200000,112.375
2020-01-13 12:10:49.400000,182.937
2020-01-13 12:10:49.600000,228.75
2020-01-13 12:10:49.800000,271.375
2020-01-13 12:10:50,251.0
2020-01-13 12:10:50.200000,163.625
2020-01-13 12:10:50.400000,70.187
2020-01-13 12:10:50.600000,315.875
2020-01-13 12:10:50.800000,331.375
2020-01-13 12:10:51,16.937
2020-01-13 12:10:51.200000,142.187
2020-01-13 12:10:51.400000,178.5
2020-01-13 12:10:51.600000,207.75
2020-01-13 12:10:51.800000,288.937
2020-01-13 12:10:52,267.562
2020-01-13 12:10:52.200000,196.875
2020-01-13 12:10:52.400000,12.937
2020-01-13 12:10:52.600000,328.312
2020-01-13 12:10:52.800000,41.875
2020-01-13 12:10:53,105.937
2020-01-13 12:10:53.200000,149.125
2020-01-13 12:10:53.400000,224.75
2020-01-13 12:10:53.600000,260.25
2020-01-13 12:10:53.800000,257.187
2020-01-13 12:10:54,219.125
2020-01-13 12:10:54.200000,208.25
2020-01-13 12:10:54.400000,199.75
2020-01-13 12:10:54.600000,208.75
2020-01-13 12:10:54.800000,214.375
2020-01-13 12:10:55,215.0
2020-01-13 12:10:55.200000,214.25
2020-01-13 12:10:55.400000,212.937
2020-01-13 12:10:55.600000,206.375
2020-01-13 12:10:55.800000,200.437
2020-01-13 12:10:56,205.75
2020-01-13 12:10:56.200000,200.437
2020-01-13 12:10:56.400000,200.625
2020-01-13 12:10:56.600000,131.0
2020-01-13 12:10:56.800000,324.312
2020-01-13 12:10:57,357.375
2020-01-13 12:10:57.200000,29.687
2020-01-13 12:10:57.400000,102.75
2020-01-13 12:10:57.600000,131.812
2020-01-13 12:10:57.800000,359.937
2020-01-13 12:10:58,161.75
2020-01-13 12:10:58.200000,359.937
2020-01-13 12:10:58.400000,161.25
2020-01-13 12:10:58.600000,359.937
2020-01-13 12:10:58.800000,157.937
