start,end,avg
2020-01-10 20:15:58.800000,2020-01-10 20:15:59,42.125,g
2020-01-10 20:15:59,2020-01-10 20:15:59.200000,43.562,g
2020-01-10 20:15:59.200000,2020-01-10 20:15:59.400000,42.187,g
2020-01-10 20:15:59.400000,2020-01-10 20:15:59.600000,40.75,g
2020-01-10 20:15:59.600000,2020-01-10 20:15:59.800000,43.187,g
2020-01-10 20:15:59.800000,2020-01-10 20:16:00,41.75,g
2020-01-10 20:16:00,2020-01-10 20:16:00.200000,42.0,g
2020-01-10 20:16:00.200000,2020-01-10 20:16:00.400000,42.437,g
2020-01-10 20:16:00.400000,2020-01-10 20:16:00.600000,42.062,g
2020-01-10 20:16:00.600000,2020-01-10 20:16:00.800000,42.062,g
2020-01-10 20:16:00.800000,2020-01-10 20:16:01,42.875,g
2020-01-10 20:16:01,2020-01-10 20:16:01.200000,42.875,g
2020-01-10 20:16:01.200000,2020-01-10 20:16:01.400000,42.25,g
2020-01-10 20:16:01.400000,2020-01-10 20:16:01.600000,43.125,g
2020-01-10 20:16:01.600000,2020-01-10 20:16:01.800000,42.437,g
2020-01-10 20:16:01.800000,2020-01-10 20:16:02,42.062,g
2020-01-10 20:16:02,2020-01-10 20:16:02.200000,42.562,g
2020-01-10 20:16:02.200000,2020-01-10 20:16:02.400000,43.375,g
2020-01-10 20:16:02.400000,2020-01-10 20:16:02.600000,42.75,g
2020-01-10 20:16:02.600000,2020-01-10 20:16:02.800000,44.437,g
2020-01-10 20:16:02.800000,2020-01-10 20:16:03,45.5,g
2020-01-10 20:16:03,2020-01-10 20:16:03.200000,42.5,g
2020-01-10 20:16:03.200000,2020-01-10 20:16:03.400000,43.437,g
2020-01-10 20:16:03.400000,2020-01-10 20:16:03.600000,45.0,g
2020-01-10 20:16:03.600000,2020-01-10 20:16:03.800000,42.937,g
2020-01-10 20:16:03.800000,2020-01-10 20:16:04,43.437,g
2020-01-10 20:16:04,2020-01-10 20:16:04.200000,45.812,g
2020-01-10 20:16:04.200000,2020-01-10 20:16:04.400000,42.937,g
2020-01-10 20:16:04.400000,2020-01-10 20:16:04.600000,44.187,g
2020-01-10 20:16:04.600000,2020-01-10 20:16:04.800000,45.625,g
2020-01-10 20:16:04.800000,2020-01-10 20:16:05,44.75,g
2020-01-10 20:16:05,2020-01-10 20:16:05.200000,43.375,g
2020-01-10 20:16:05.200000,2020-01-10 20:16:05.400000,45.187,g
2020-01-10 20:16:05.400000,2020-01-10 20:16:05.600000,44.0,g
2020-01-10 20:16:05.600000,2020-01-10 20:16:05.800000,43.75,g
2020-01-10 20:16:05.800000,2020-01-10 20:16:06,44.812,g
2020-01-10 20:16:06,2020-01-10 20:16:06.200000,44.125,g
2020-01-10 20:16:06.200000,2020-01-10 20:16:06.400000,44.312,g
2020-01-10 20:16:06.400000,2020-01-10 20:16:06.600000,44.875,g
2020-01-10 20:16:06.600000,2020-01-10 20:16:06.800000,44.812,g
2020-01-10 20:16:06.800000,2020-01-10 20:16:07,44.437,g
2020-01-10 20:16:07,2020-01-10 20:16:07.200000,44.687,g
2020-01-10 20:16:07.200000,2020-01-10 20:16:07.400000,44.812,g
2020-01-10 20:16:07.400000,2020-01-10 20:16:07.600000,44.562,g
2020-01-10 20:16:07.600000,2020-01-10 20:16:07.800000,44.75,g
2020-01-10 20:16:07.800000,2020-01-10 20:16:08,44.812,g
2020-01-10 20:16:08,2020-01-10 20:16:08.200000,44.625,g
2020-01-10 20:16:08.200000,2020-01-10 20:16:08.400000,44.812,g
2020-01-10 20:16:08.400000,2020-01-10 20:16:08.600000,44.75,g
2020-01-10 20:16:08.600000,2020-01-10 20:16:08.800000,44.75,g
2020-01-10 20:16:08.800000,2020-01-10 20:16:09,44.937,g
2020-01-10 20:16:09,2020-01-10 20:16:09.200000,45.187,g
2020-01-10 20:16:09.200000,2020-01-10 20:16:09.400000,44.937,g
2020-01-10 20:16:09.400000,2020-01-10 20:16:09.600000,44.937,g
2020-01-10 20:16:09.600000,2020-01-10 20:16:09.800000,44.937,g
2020-01-10 20:16:09.800000,2020-01-10 20:16:10,44.937,g
2020-01-10 20:16:10,2020-01-10 20:16:10.200000,45.0,g
2020-01-10 20:16:10.200000,2020-01-10 20:16:10.400000,45.0,g
2020-01-10 20:16:10.400000,2020-01-10 20:16:10.600000,45.0,g
2020-01-10 20:16:10.600000,2020-01-10 20:16:10.800000,45.125,g
2020-01-10 20:16:10.800000,2020-01-10 20:16:11,44.937,g
