start,end,avg
2020-01-10 19:11:41,2020-01-10 19:11:41.200000,-139.688,g
2020-01-10 19:11:41.200000,2020-01-10 19:11:41.400000,-139.938,g
2020-01-10 19:11:41.400000,2020-01-10 19:11:41.600000,-139.75,g
2020-01-10 19:11:41.600000,2020-01-10 19:11:41.800000,-139.75,g
2020-01-10 19:11:41.800000,2020-01-10 19:11:42,-139.938,g
2020-01-10 19:11:42,2020-01-10 19:11:42.200000,-140.313,g
2020-01-10 19:11:42.200000,2020-01-10 19:11:42.400000,-139.813,g
2020-01-10 19:11:42.400000,2020-01-10 19:11:42.600000,-140.438,g
2020-01-10 19:11:42.600000,2020-01-10 19:11:42.800000,-140.375,g
2020-01-10 19:11:42.800000,2020-01-10 19:11:43,-139.813,g
2020-01-10 19:11:43,2020-01-10 19:11:43.200000,-140.188,g
2020-01-10 19:11:43.200000,2020-01-10 19:11:43.400000,-140.125,g
2020-01-10 19:11:43.400000,2020-01-10 19:11:43.600000,-139.938,g
2020-01-10 19:11:43.600000,2020-01-10 19:11:43.800000,-139.5,g
2020-01-10 19:11:43.800000,2020-01-10 19:11:44,-139.563,g
2020-01-10 19:11:44,2020-01-10 19:11:44.200000,-140.625,g
2020-01-10 19:11:44.200000,2020-01-10 19:11:44.400000,-139.813,g
2020-01-10 19:11:44.400000,2020-01-10 19:11:44.600000,-140.0,g
2020-01-10 19:11:44.600000,2020-01-10 19:11:44.800000,-175.625,g
2020-01-10 19:11:44.800000,2020-01-10 19:11:45,-139.875,g
2020-01-10 19:11:45,2020-01-10 19:11:45.200000,-140.188,g
2020-01-10 19:11:45.200000,2020-01-10 19:11:45.400000,-175.688,g
2020-01-10 19:11:45.400000,2020-01-10 19:11:45.600000,-139.875,g
2020-01-10 19:11:45.600000,2020-01-10 19:11:45.800000,-140.688,g
2020-01-10 19:11:45.800000,2020-01-10 19:11:46,-140.438,g
2020-01-10 19:11:46,2020-01-10 19:11:46.200000,-139.938,g
2020-01-10 19:11:46.200000,2020-01-10 19:11:46.400000,-140.563,g
2020-01-10 19:11:46.400000,2020-01-10 19:11:46.600000,-140.0,g
2020-01-10 19:11:46.600000,2020-01-10 19:11:46.800000,-140.188,g
2020-01-10 19:11:46.800000,2020-01-10 19:11:47,-139.688,g
2020-01-10 19:11:47,2020-01-10 19:11:47.200000,-140.125,g
2020-01-10 19:11:47.200000,2020-01-10 19:11:47.400000,-140.063,g
2020-01-10 19:11:47.400000,2020-01-10 19:11:47.600000,-139.938,g
2020-01-10 19:11:47.600000,2020-01-10 19:11:47.800000,-140.063,g
2020-01-10 19:11:47.800000,2020-01-10 19:11:48,-140.375,g
2020-01-10 19:11:48,2020-01-10 19:11:48.200000,-140.5,g
2020-01-10 19:11:48.200000,2020-01-10 19:11:48.400000,-140.688,g
2020-01-10 19:11:48.400000,2020-01-10 19:11:48.600000,-140.75,g
2020-01-10 19:11:48.600000,2020-01-10 19:11:48.800000,-140.438,g
2020-01-10 19:11:48.800000,2020-01-10 19:11:49,-140.563,g
2020-01-10 19:11:49,2020-01-10 19:11:49.200000,-140.563,g
2020-01-10 19:11:49.200000,2020-01-10 19:11:49.400000,-140.688,g
2020-01-10 19:11:49.400000,2020-01-10 19:11:49.600000,-140.75,g
2020-01-10 19:11:49.600000,2020-01-10 19:11:49.800000,-140.938,g
2020-01-10 19:11:49.800000,2020-01-10 19:11:50,-140.875,g
2020-01-10 19:11:50,2020-01-10 19:11:50.200000,-140.813,g
2020-01-10 19:11:50.200000,2020-01-10 19:11:50.400000,-140.688,g
2020-01-10 19:11:50.400000,2020-01-10 19:11:50.600000,-140.688,g
2020-01-10 19:11:50.600000,2020-01-10 19:11:50.800000,-140.688,g
2020-01-10 19:11:50.800000,2020-01-10 19:11:51,-140.563,g
2020-01-10 19:11:51,2020-01-10 19:11:51.200000,-140.563,g
2020-01-10 19:11:51.200000,2020-01-10 19:11:51.400000,-140.75,g
2020-01-10 19:11:51.400000,2020-01-10 19:11:51.600000,-140.688,g
2020-01-10 19:11:51.600000,2020-01-10 19:11:51.800000,-140.563,g
2020-01-10 19:11:51.800000,2020-01-10 19:11:52,-140.563,g
2020-01-10 19:11:52,2020-01-10 19:11:52.200000,-140.375,g
2020-01-10 19:11:52.200000,2020-01-10 19:11:52.400000,-140.5,g
2020-01-10 19:11:52.400000,2020-01-10 19:11:52.600000,-140.438,g
2020-01-10 19:11:52.600000,2020-01-10 19:11:52.800000,-140.5,g
2020-01-10 19:11:52.800000,2020-01-10 19:11:53,-140.75,g
