"time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,t1,t2,compass"
2020-01-09 17:00:59.943187,-0.451,-0.583,-0.826,-0.125,-14.75,-2.375,-152.1,-21.6,164.8
2020-01-09 17:01:06.430940,-0.526,-0.612,-0.722,-22.562,15.562,10.5,-148.3,-21.9,176.6
2020-01-09 17:01:13.534399,-0.624,-0.627,-0.548,-3.0,9.625,7.75,-129.0,-38.1,202.1
2020-01-09 17:01:20.283032,-0.285,-0.423,-0.389,-50.75,-62.187,1.062,-102.0,-18.3,206.6
2020-01-09 17:01:27.133003,-0.119,-0.864,-0.319,26.625,-3.562,21.75,-116.3,-9.6,272.6
2020-01-09 17:01:33.888275,-0.341,-0.851,-0.581,4.937,-9.375,-42.187,-124.3,-7.0,137.1
