starttime,value
2020-01-13 12:10:41.400000,-135.438
2020-01-13 12:10:41.600000,0.125
2020-01-13 12:10:41.800000,-142.063
2020-01-13 12:10:42,-142.125
2020-01-13 12:10:42.200000,-145.75
2020-01-13 12:10:42.400000,-153.875
2020-01-13 12:10:42.600000,-157.938
2020-01-13 12:10:42.800000,-159.75
2020-01-13 12:10:43,-159.375
2020-01-13 12:10:43.200000,-158.875
2020-01-13 12:10:43.400000,-159.625
2020-01-13 12:10:43.600000,-162.5
2020-01-13 12:10:43.800000,-164.375
2020-01-13 12:10:44,-166.438
2020-01-13 12:10:44.200000,-166.25
2020-01-13 12:10:44.400000,-166.625
2020-01-13 12:10:44.600000,-170.063
2020-01-13 12:10:44.800000,-170.813
2020-01-13 12:10:45,-171.0
2020-01-13 12:10:45.200000,-161.938
2020-01-13 12:10:45.400000,-158.875
2020-01-13 12:10:45.600000,-157.063
2020-01-13 12:10:45.800000,-154.563
2020-01-13 12:10:46,-143.875
2020-01-13 12:10:46.200000,-151.063
2020-01-13 12:10:46.400000,-146.813
2020-01-13 12:10:46.600000,-138.938
2020-01-13 12:10:46.800000,-145.438
2020-01-13 12:10:47,-152.063
2020-01-13 12:10:47.200000,-159.313
2020-01-13 12:10:47.400000,-151.063
2020-01-13 12:10:47.600000,-168.188
2020-01-13 12:10:47.800000,-169.875
2020-01-13 12:10:48,-155.188
2020-01-13 12:10:48.200000,-123.938
2020-01-13 12:10:48.400000,121.75
2020-01-13 12:10:48.600000,119.562
2020-01-13 12:10:48.800000,128.312
2020-01-13 12:10:49,-175.5
2020-01-13 12:10:49.200000,-150.875
2020-01-13 12:10:49.400000,-179.188
2020-01-13 12:10:49.600000,168.562
2020-01-13 12:10:49.800000,-176.313
2020-01-13 12:10:50,-178.438
2020-01-13 12:10:50.200000,-139.438
2020-01-13 12:10:50.400000,-160.313
2020-01-13 12:10:50.600000,120.687
2020-01-13 12:10:50.800000,126.312
2020-01-13 12:10:51,143.75
2020-01-13 12:10:51.200000,-153.688
2020-01-13 12:10:51.400000,-168.0
2020-01-13 12:10:51.600000,169.5
2020-01-13 12:10:51.800000,177.0
2020-01-13 12:10:52,179.687
2020-01-13 12:10:52.200000,-156.25
2020-01-13 12:10:52.400000,159.5
2020-01-13 12:10:52.600000,138.937
2020-01-13 12:10:52.800000,177.375
2020-01-13 12:10:53,-141.5
2020-01-13 12:10:53.200000,-132.688
2020-01-13 12:10:53.400000,-162.375
2020-01-13 12:10:53.600000,-165.563
2020-01-13 12:10:53.800000,-164.813
2020-01-13 12:10:54,-137.563
2020-01-13 12:10:54.200000,-126.563
2020-01-13 12:10:54.400000,-124.313
2020-01-13 12:10:54.600000,-122.125
2020-01-13 12:10:54.800000,-125.5
2020-01-13 12:10:55,-123.25
2020-01-13 12:10:55.200000,-120.25
2020-01-13 12:10:55.400000,-121.125
2020-01-13 12:10:55.600000,-123.5
2020-01-13 12:10:55.800000,-122.625
2020-01-13 12:10:56,-125.563
2020-01-13 12:10:56.200000,-124.625
2020-01-13 12:10:56.400000,-134.188
2020-01-13 12:10:56.600000,-129.0
2020-01-13 12:10:56.800000,-177.75
2020-01-13 12:10:57,-162.313
2020-01-13 12:10:57.200000,-153.438
2020-01-13 12:10:57.400000,-153.375
2020-01-13 12:10:57.600000,-147.813
2020-01-13 12:10:57.800000,0.125
2020-01-13 12:10:58,-137.688
2020-01-13 12:10:58.200000,0.125
2020-01-13 12:10:58.400000,-137.063
2020-01-13 12:10:58.600000,-135.563
2020-01-13 12:10:58.800000,-135.063
