starttime,value
2020-01-13 11:46:08.400000,1.053
2020-01-13 11:46:08.600000,1.062
2020-01-13 11:46:08.800000,1.058
2020-01-13 11:46:09,1.055
2020-01-13 11:46:09.200000,1.054
2020-01-13 11:46:09.400000,1.062
2020-01-13 11:46:09.600000,1.049
2020-01-13 11:46:09.800000,1.055
2020-01-13 11:46:10,1.056
2020-01-13 11:46:10.200000,1.056
2020-01-13 11:46:10.400000,1.056
2020-01-13 11:46:10.600000,1.056
2020-01-13 11:46:10.800000,1.056
2020-01-13 11:46:11,1.056
2020-01-13 11:46:11.200000,1.055
2020-01-13 11:46:11.400000,1.056
2020-01-13 11:46:11.600000,1.056
2020-01-13 11:46:11.800000,1.056
2020-01-13 11:46:12,1.056
2020-01-13 11:46:12.200000,1.057
2020-01-13 11:46:12.400000,1.056
2020-01-13 11:46:12.600000,1.056
2020-01-13 11:46:12.800000,1.055
2020-01-13 11:46:13,1.057
2020-01-13 11:46:13.200000,1.057
2020-01-13 11:46:13.400000,1.056
