starttime,value
2020-01-13 11:44:11.800000,-141.875
2020-01-13 11:44:12,-141.875
2020-01-13 11:44:12.200000,-141.875
2020-01-13 11:44:12.400000,-141.688
2020-01-13 11:44:12.600000,-141.875
2020-01-13 11:44:12.800000,-141.688
2020-01-13 11:44:13,-141.875
2020-01-13 11:44:13.200000,-141.688
2020-01-13 11:44:13.400000,-141.688
2020-01-13 11:44:13.600000,-141.813
2020-01-13 11:44:13.800000,-141.688
2020-01-13 11:44:14,-141.875
2020-01-13 11:44:14.200000,-141.688
2020-01-13 11:44:14.400000,-141.875
2020-01-13 11:44:14.600000,-141.875
2020-01-13 11:44:14.800000,-141.875
2020-01-13 11:44:15,-141.875
2020-01-13 11:44:15.200000,-141.875
2020-01-13 11:44:15.400000,-141.875
2020-01-13 11:44:15.600000,-141.938
2020-01-13 11:44:15.800000,-141.813
2020-01-13 11:44:16,-141.813
2020-01-13 11:44:16.200000,-141.688
2020-01-13 11:44:16.400000,-141.938
2020-01-13 11:44:16.600000,-141.875
2020-01-13 11:44:16.800000,-141.625
