starttime,value
2020-01-13 15:04:35.400000,0.985
2020-01-13 15:04:35.600000,0.99
2020-01-13 15:04:35.800000,1.005
2020-01-13 15:04:36,0.996
2020-01-13 15:04:36.200000,0.998
2020-01-13 15:04:36.400000,0.999
2020-01-13 15:04:36.600000,0.998
2020-01-13 15:04:36.800000,0.994
2020-01-13 15:04:37,1.001
2020-01-13 15:04:37.200000,0.998
2020-01-13 15:04:37.400000,0.994
2020-01-13 15:04:37.600000,0.999
2020-01-13 15:04:37.800000,1.011
2020-01-13 15:04:38,0.987
2020-01-13 15:04:38.200000,1.004
2020-01-13 15:04:38.400000,1.0
2020-01-13 15:04:38.600000,1.001
2020-01-13 15:04:38.800000,0.997
2020-01-13 15:04:39,1.004
2020-01-13 15:04:39.200000,0.992
2020-01-13 15:04:39.400000,0.99
2020-01-13 15:04:39.600000,1.01
2020-01-13 15:04:39.800000,0.996
2020-01-13 15:04:40,0.99
2020-01-13 15:04:40.200000,1.369
2020-01-13 15:04:40.400000,0.867
2020-01-13 15:04:40.600000,1.366
2020-01-13 15:04:40.800000,1.462
2020-01-13 15:04:41,1.516
2020-01-13 15:04:41.200000,0.966
2020-01-13 15:04:41.400000,0.968
2020-01-13 15:04:41.600000,0.985
2020-01-13 15:04:41.800000,0.992
2020-01-13 15:04:42,0.967
2020-01-13 15:04:42.200000,1.247
2020-01-13 15:04:42.400000,1.116
2020-01-13 15:04:42.600000,0.893
2020-01-13 15:04:42.800000,0.619
2020-01-13 15:04:43,1.041
2020-01-13 15:04:43.200000,1.005
2020-01-13 15:04:43.400000,0.946
2020-01-13 15:04:43.600000,0.96
2020-01-13 15:04:43.800000,1.026
2020-01-13 15:04:44,0.979
2020-01-13 15:04:44.200000,1.005
2020-01-13 15:04:44.400000,1.006
2020-01-13 15:04:44.600000,0.999
2020-01-13 15:04:44.800000,0.997
2020-01-13 15:04:45,0.994
2020-01-13 15:04:45.200000,0.998
2020-01-13 15:04:45.400000,0.981
2020-01-13 15:04:45.600000,1.003
2020-01-13 15:04:45.800000,1.001
2020-01-13 15:04:46,1.214
2020-01-13 15:04:46.200000,0.899
2020-01-13 15:04:46.400000,0.985
2020-01-13 15:04:46.600000,1.003
2020-01-13 15:04:46.800000,0.99
2020-01-13 15:04:47,0.996
2020-01-13 15:04:47.200000,1.007
2020-01-13 15:04:47.400000,0.994
2020-01-13 15:04:47.600000,1.002
2020-01-13 15:04:47.800000,1.003
2020-01-13 15:04:48,1.019
2020-01-13 15:04:48.200000,1.164
2020-01-13 15:04:48.400000,1.124
2020-01-13 15:04:48.600000,1.109
2020-01-13 15:04:48.800000,1.113
2020-01-13 15:04:49,1.007
2020-01-13 15:04:49.200000,1.028
2020-01-13 15:04:49.400000,1.009
2020-01-13 15:04:49.600000,1.064
2020-01-13 15:04:49.800000,1.104
2020-01-13 15:04:50,1.133
