start,end,avg
2020-01-10 20:19:40,2020-01-10 20:19:40.200000,7.375,g
2020-01-10 20:19:40.200000,2020-01-10 20:19:40.400000,7.375,g
2020-01-10 20:19:40.400000,2020-01-10 20:19:40.600000,7.375,g
2020-01-10 20:19:40.600000,2020-01-10 20:19:40.800000,7.562,g
2020-01-10 20:19:40.800000,2020-01-10 20:19:41,7.562,g
2020-01-10 20:19:41,2020-01-10 20:19:41.200000,7.437,g
2020-01-10 20:19:41.200000,2020-01-10 20:19:41.400000,7.312,g
2020-01-10 20:19:41.400000,2020-01-10 20:19:41.600000,7.5,g
2020-01-10 20:19:41.600000,2020-01-10 20:19:41.800000,7.312,g
2020-01-10 20:19:41.800000,2020-01-10 20:19:42,7.437,g
2020-01-10 20:19:42,2020-01-10 20:19:42.200000,7.75,g
2020-01-10 20:19:42.200000,2020-01-10 20:19:42.400000,7.562,g
2020-01-10 20:19:42.400000,2020-01-10 20:19:42.600000,7.812,g
2020-01-10 20:19:42.600000,2020-01-10 20:19:42.800000,7.875,g
2020-01-10 20:19:42.800000,2020-01-10 20:19:43,7.937,g
2020-01-10 20:19:43,2020-01-10 20:19:43.200000,8.125,g
2020-01-10 20:19:43.200000,2020-01-10 20:19:43.400000,8.312,g
2020-01-10 20:19:43.400000,2020-01-10 20:19:43.600000,8.312,g
2020-01-10 20:19:43.600000,2020-01-10 20:19:43.800000,8.5,g
2020-01-10 20:19:43.800000,2020-01-10 20:19:44,8.562,g
2020-01-10 20:19:44,2020-01-10 20:19:44.200000,8.75,g
2020-01-10 20:19:44.200000,2020-01-10 20:19:44.400000,8.625,g
2020-01-10 20:19:44.400000,2020-01-10 20:19:44.600000,9.0,g
2020-01-10 20:19:44.600000,2020-01-10 20:19:44.800000,8.812,g
2020-01-10 20:19:44.800000,2020-01-10 20:19:45,9.125,g
2020-01-10 20:19:45,2020-01-10 20:19:45.200000,8.937,g
2020-01-10 20:19:45.200000,2020-01-10 20:19:45.400000,9.375,g
2020-01-10 20:19:45.400000,2020-01-10 20:19:45.600000,9.5,g
2020-01-10 20:19:45.600000,2020-01-10 20:19:45.800000,9.375,g
2020-01-10 20:19:45.800000,2020-01-10 20:19:46,9.562,g
2020-01-10 20:19:46,2020-01-10 20:19:46.200000,9.812,g
2020-01-10 20:19:46.200000,2020-01-10 20:19:46.400000,9.875,g
2020-01-10 20:19:46.400000,2020-01-10 20:19:46.600000,9.687,g
2020-01-10 20:19:46.600000,2020-01-10 20:19:46.800000,9.875,g
2020-01-10 20:19:46.800000,2020-01-10 20:19:47,9.875,g
2020-01-10 20:19:47,2020-01-10 20:19:47.200000,9.937,g
2020-01-10 20:19:47.200000,2020-01-10 20:19:47.400000,9.937,g
2020-01-10 20:19:47.400000,2020-01-10 20:19:47.600000,9.75,g
2020-01-10 20:19:47.600000,2020-01-10 20:19:47.800000,9.75,g
2020-01-10 20:19:47.800000,2020-01-10 20:19:48,9.812,g
2020-01-10 20:19:48,2020-01-10 20:19:48.200000,9.75,g
2020-01-10 20:19:48.200000,2020-01-10 20:19:48.400000,9.75,g
2020-01-10 20:19:48.400000,2020-01-10 20:19:48.600000,9.875,g
2020-01-10 20:19:48.600000,2020-01-10 20:19:48.800000,9.937,g
2020-01-10 20:19:48.800000,2020-01-10 20:19:49,9.937,g
2020-01-10 20:19:49,2020-01-10 20:19:49.200000,9.937,g
2020-01-10 20:19:49.200000,2020-01-10 20:19:49.400000,9.937,g
2020-01-10 20:19:49.400000,2020-01-10 20:19:49.600000,10.187,g
2020-01-10 20:19:49.600000,2020-01-10 20:19:49.800000,10.062,g
2020-01-10 20:19:49.800000,2020-01-10 20:19:50,10.125,g
2020-01-10 20:19:50,2020-01-10 20:19:50.200000,10.312,g
2020-01-10 20:19:50.200000,2020-01-10 20:19:50.400000,10.062,g
2020-01-10 20:19:50.400000,2020-01-10 20:19:50.600000,10.062,g
2020-01-10 20:19:50.600000,2020-01-10 20:19:50.800000,10.125,g
2020-01-10 20:19:50.800000,2020-01-10 20:19:51,10.25,g
2020-01-10 20:19:51,2020-01-10 20:19:51.200000,10.25,g
2020-01-10 20:19:51.200000,2020-01-10 20:19:51.400000,10.312,g
2020-01-10 20:19:51.400000,2020-01-10 20:19:51.600000,10.562,g
2020-01-10 20:19:51.600000,2020-01-10 20:19:51.800000,10.375,g
