"time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,t1,t2,compass"
2020-01-09 18:04:26.314859,0.034,0.413,0.82,0.0,0.0,0.0,26.9,2.7,77.9
2020-01-09 18:04:30.175415,-1.08,-0.88,-0.222,-9.437,-245.812,-148.875,-103.8,33.6,115.1
2020-01-09 18:04:34.343226,-0.335,-0.612,-0.38,57.812,66.0,84.375,-156.3,69.5,1.9
2020-01-09 18:04:38.605033,0.73,0.739,-0.119,-19.312,125.562,348.625,96.1,80.6,274.3
