"time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,t1,t2,compass"
2020-01-09 17:07:13.913641,-0.561,-0.512,-0.66,3.5,-0.25,0.625,-140.4,-33.9,193.9
2020-01-09 17:07:18.679700,-0.561,-0.512,-0.66,-37.312,-37.187,-10.812,-115.0,-34.1,220.9
2020-01-09 17:07:22.377292,-0.561,-0.512,-0.66,-11.875,39.437,7.25,-129.8,-14.9,238.4
2020-01-09 17:07:26.819322,-0.561,-0.512,-0.66,-17.0,-44.125,-157.625,-156.5,-27.3,159.4
